County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
25 - Modoc,10/8/2013,In Construction,$0.00,0,
25 - Modoc,10/8/2013,In Closure,$0.00,0,
26 - Mono,10/8/2013,In Review,$190794.00,2,
26 - Mono,10/8/2013,Pending Construction,$12000.00,1,
26 - Mono,10/8/2013,In Construction,$1000.00,3,
26 - Mono,10/8/2013,In Closure,$533972.00,2,
27 - Monterey,10/8/2013,In Review,$1947806.00,8,
27 - Monterey,10/8/2013,Pending Construction,$1683276.00,14,
27 - Monterey,10/8/2013,In Construction,$36295671.00,20,
27 - Monterey,10/8/2013,In Closure,$4661443.06,20,
28 - Napa,10/8/2013,In Review,$875000.00,4,Bay Area Counties
28 - Napa,10/8/2013,Pending Construction,$12801298.00,8,Bay Area Counties
28 - Napa,10/8/2013,In Construction,$33159755.00,14,Bay Area Counties
28 - Napa,10/8/2013,In Closure,$50466031.00,20,Bay Area Counties
29 - Nevada,10/8/2013,In Review,$15462056.00,5,
29 - Nevada,10/8/2013,Pending Construction,$3819556.00,4,
29 - Nevada,10/8/2013,In Construction,$30359244.00,21,
29 - Nevada,10/8/2013,In Closure,$0.00,0,
30 - Orange,10/8/2013,In Review,$83171304.66,98,Greater Los Angeles Counties
30 - Orange,10/8/2013,Pending Construction,$33930898.33,121,Greater Los Angeles Counties
30 - Orange,10/8/2013,In Construction,$285215772.13,133,Greater Los Angeles Counties
30 - Orange,10/8/2013,In Closure,$319888695.16,191,Greater Los Angeles Counties
31 - Placer,10/8/2013,In Review,$8897190.00,8,Greater Sacramento Counties
31 - Placer,10/8/2013,Pending Construction,$817754.00,5,Greater Sacramento Counties
31 - Placer,10/8/2013,In Construction,$56620358.80,17,Greater Sacramento Counties
31 - Placer,10/8/2013,In Closure,$76386793.61,17,Greater Sacramento Counties
32 - Plumas,10/8/2013,In Review,$45441.00,2,
32 - Plumas,10/8/2013,Pending Construction,$83000.00,2,
32 - Plumas,10/8/2013,In Construction,$85900.00,2,
32 - Plumas,10/8/2013,In Closure,$0.00,0,
33 - Riverside,10/8/2013,In Review,$293782736.72,73,
33 - Riverside,10/8/2013,Pending Construction,$135174446.00,70,
33 - Riverside,10/8/2013,In Construction,$156984533.63,131,
33 - Riverside,10/8/2013,In Closure,$185873741.27,110,
34 - Sacramento,10/8/2013,In Review,$46784298.00,44,Greater Sacramento Counties
34 - Sacramento,10/8/2013,Pending Construction,$92122261.00,37,Greater Sacramento Counties
34 - Sacramento,10/8/2013,In Construction,$266798568.01,120,Greater Sacramento Counties
34 - Sacramento,10/8/2013,In Closure,$110752565.40,51,Greater Sacramento Counties
35 - San Benito,10/8/2013,In Review,$0.00,0,
35 - San Benito,10/8/2013,Pending Construction,$0.00,0,
35 - San Benito,10/8/2013,In Construction,$14215455.00,4,
35 - San Benito,10/8/2013,In Closure,$12923440.00,3,
36 - San Bernardino,10/8/2013,In Review,$681245056.53,43,
36 - San Bernardino,10/8/2013,Pending Construction,$15031364.78,49,
36 - San Bernardino,10/8/2013,In Construction,$200656402.25,112,
36 - San Bernardino,10/8/2013,In Closure,$188115939.29,92,
37 - San Diego,10/8/2013,In Review,$518389093.79,127,
37 - San Diego,10/8/2013,Pending Construction,$110693790.34,97,
37 - San Diego,10/8/2013,In Construction,$614451060.91,210,
37 - San Diego,10/8/2013,In Closure,$452164178.97,235,
38 - San Francisco,10/8/2013,In Review,$941144053.98,63,Bay Area Counties
38 - San Francisco,10/8/2013,Pending Construction,$461843530.38,67,Bay Area Counties
38 - San Francisco,10/8/2013,In Construction,$1043478037.62,136,Bay Area Counties
38 - San Francisco,10/8/2013,In Closure,$296224727.61,101,Bay Area Counties
39 - San Joaquin,10/8/2013,In Review,$5270479.80,26,
39 - San Joaquin,10/8/2013,Pending Construction,$91068070.80,30,
39 - San Joaquin,10/8/2013,In Construction,$25261725.38,45,
39 - San Joaquin,10/8/2013,In Closure,$17414916.84,15,
40 - San Luis Obispo,10/8/2013,In Review,$2891415.00,11,
40 - San Luis Obispo,10/8/2013,Pending Construction,$1539721.80,13,
40 - San Luis Obispo,10/8/2013,In Construction,$4706570.10,15,
40 - San Luis Obispo,10/8/2013,In Closure,$9523308.00,30,
41 - San Mateo,10/8/2013,In Review,$76750622.16,28,Bay Area Counties
41 - San Mateo,10/8/2013,Pending Construction,$36040138.96,32,Bay Area Counties
41 - San Mateo,10/8/2013,In Construction,$329339610.94,67,Bay Area Counties
41 - San Mateo,10/8/2013,In Closure,$59086232.01,42,Bay Area Counties
42 - Santa Barbara,10/8/2013,In Review,$10741200.00,15,
42 - Santa Barbara,10/8/2013,Pending Construction,$149282187.80,22,
42 - Santa Barbara,10/8/2013,In Construction,$228096917.43,34,
42 - Santa Barbara,10/8/2013,In Closure,$95552890.41,23,
43 - Santa Clara,10/8/2013,In Review,$763865453.25,80,Bay Area Counties
43 - Santa Clara,10/8/2013,Pending Construction,$178505703.77,71,Bay Area Counties
43 - Santa Clara,10/8/2013,In Construction,$769666467.77,165,Bay Area Counties
43 - Santa Clara,10/8/2013,In Closure,$91227844.85,141,Bay Area Counties
44 - Santa Cruz,10/8/2013,In Review,$10510974.00,8,
44 - Santa Cruz,10/8/2013,Pending Construction,$495319.00,7,
44 - Santa Cruz,10/8/2013,In Construction,$3549812.99,21,
44 - Santa Cruz,10/8/2013,In Closure,$10195895.50,14,
45 - Shasta,10/8/2013,In Review,$24745486.00,20,
45 - Shasta,10/8/2013,Pending Construction,$1481187.00,13,
45 - Shasta,10/8/2013,In Construction,$5229507.81,19,
45 - Shasta,10/8/2013,In Closure,$9154279.00,3,
46 - Sierra,10/8/2013,In Review,$0.00,0,
46 - Sierra,10/8/2013,Pending Construction,$0.00,0,
46 - Sierra,10/8/2013,In Construction,$0.00,0,
46 - Sierra,10/8/2013,In Closure,$0.00,0,
47 - Siskiyou,10/8/2013,In Review,$10000.00,1,
47 - Siskiyou,10/8/2013,Pending Construction,$726700.00,3,
47 - Siskiyou,10/8/2013,In Construction,$1090562.07,7,
47 - Siskiyou,10/8/2013,In Closure,$60000.00,2,
48 - Solano,10/8/2013,In Review,$3770069.00,11,Bay Area Counties
